,FIPS,Admin2,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incidence_Rate,Case-Fatality_Ratio,Country/Region,Province/State,Last Update
3040,,,44.6939006,40.1520421,1025,10,577,438,"Adygea Republic, Russia",226.0816629023151,0.975609756097561,Russia,Adygea Republic,2020-06-08 03:33:22
3046,,,52.6932243,82.69314240000001,2319,14,1096,1209,"Altai Krai, Russia",98.67749183006536,0.6037084950409659,Russia,Altai Krai,2020-06-08 03:33:22
3047,,,50.7114101,86.8572186,172,0,100,72,"Altai Republic, Russia",78.87628804519795,0.0,Russia,Altai Republic,2020-06-08 03:33:22
3052,,,52.8032368,128.437295,702,5,252,445,"Amur Oblast, Russia",87.92320872118073,0.7122507122507122,Russia,Amur Oblast,2020-06-08 03:33:22
3066,,,63.5589686,43.1221646,2868,9,853,2006,"Arkhangelsk Oblast, Russia",248.30566878032397,0.3138075313807531,Russia,Arkhangelsk Oblast,2020-06-08 03:33:22
3068,,,47.1878186,47.608851,2293,22,1263,1008,"Astrakhan Oblast, Russia",225.35316467390132,0.9594417793283908,Russia,Astrakhan Oblast,2020-06-08 03:33:22
3080,,,54.8573563,57.1439682,3928,18,1437,2473,"Bashkortostan Republic, Russia",96.67036071481924,0.4582484725050917,Russia,Bashkortostan Republic,2020-06-08 03:33:22
3084,,,50.7080119,37.5837615,2840,27,1337,1476,"Belgorod Oblast, Russia",183.240465688868,0.9507042253521126,Russia,Belgorod Oblast,2020-06-08 03:33:22
3096,,,52.8873315,33.41585300000001,4364,31,2917,1416,"Bryansk Oblast, Russia",360.36869251566077,0.7103574702108157,Russia,Bryansk Oblast,2020-06-08 03:33:22
3097,,,52.7182426,109.492143,1785,11,1058,716,"Buryatia Republic, Russia",181.3082840110471,0.6162464985994398,Russia,Buryatia Republic,2020-06-08 03:33:22
3119,,,43.39761470000001,45.6985005,1345,14,990,341,"Chechen Republic, Russia",93.59901070369058,1.0408921933085502,Russia,Chechen Republic,2020-06-08 03:33:22
3120,,,54.4223954,61.1865846,3614,28,1721,1865,"Chelyabinsk Oblast, Russia",103.46300467558879,0.774764803541782,Russia,Chelyabinsk Oblast,2020-06-08 03:33:22
3129,,,66.0006475,169.4900869,106,1,65,40,"Chukotka Autonomous Okrug, Russia",214.80100510658997,0.9433962264150944,Russia,Chukotka Autonomous Okrug,2020-06-08 03:33:22
3130,,,55.4259922,47.0849429,3475,16,1625,1834,"Chuvashia Republic, Russia",282.26399278053987,0.46043165467625896,Russia,Chuvashia Republic,2020-06-08 03:33:22
3140,,,43.05749160000001,47.1332224,5858,303,4562,993,"Dagestan Republic, Russia",191.19516561489743,5.172413793103448,Russia,Dagestan Republic,2020-06-08 03:33:22
3199,,,43.11542075,45.01713552,2342,61,1505,776,"Ingushetia Republic, Russia",479.8757486532949,2.6046114432109313,Russia,Ingushetia Republic,2020-06-08 03:33:22
3201,,,56.6370122,104.719221,2792,16,709,2067,"Irkutsk Oblast, Russia",116.13034716401957,0.5730659025787965,Russia,Irkutsk Oblast,2020-06-08 03:33:22
3205,,,56.9167446,41.43521370000001,2705,22,1064,1619,"Ivanovo Oblast, Russia",266.59544313977483,0.8133086876155268,Russia,Ivanovo Oblast,2020-06-08 03:33:22
3208,,,48.57527615,132.66307460000002,343,4,249,90,"Jewish Autonomous Okrug, Russia",211.7100991272359,1.1661807580174928,Russia,Jewish Autonomous Okrug,2020-06-08 03:33:22
3214,,,43.4806048,43.5978976,3348,31,1625,1692,"Kabardino-Balkarian Republic, Russia",386.68188138983726,0.925925925925926,Russia,Kabardino-Balkarian Republic,2020-06-08 03:33:22
3217,,,54.7293041,21.1489473,1776,24,779,973,"Kaliningrad Oblast, Russia",178.56442646735016,1.351351351351351,Russia,Kaliningrad Oblast,2020-06-08 03:33:22
3219,,,46.2313018,45.3275745,1168,16,624,528,"Kalmykia Republic, Russia",424.09036610472265,1.3698630136986298,Russia,Kalmykia Republic,2020-06-08 03:33:22
3220,,,54.4382773,35.5272854,4511,36,2097,2378,"Kaluga Oblast, Russia",445.7263234445525,0.7980492130348038,Russia,Kaluga Oblast,2020-06-08 03:33:22
3221,,,57.1914882,160.03838190000005,1125,10,306,809,"Kamchatka Krai, Russia",356.51245258384387,0.8888888888888888,Russia,Kamchatka Krai,2020-06-08 03:33:22
3223,,,43.7368326,41.7267991,1580,8,418,1154,"Karachay-Cherkess Republic, Russia",338.8340249407577,0.5063291139240507,Russia,Karachay-Cherkess Republic,2020-06-08 03:33:22
3224,,,62.61940309999999,33.4920267,614,2,224,388,"Karelia Republic, Russia",98.63707340268986,0.3257328990228013,Russia,Karelia Republic,2020-06-08 03:33:22
3225,,,54.53357809999999,87.342861,721,7,316,398,"Kemerovo Oblast, Russia",26.754467829143966,0.9708737864077671,Russia,Kemerovo Oblast,2020-06-08 03:33:22
3226,,,51.6312684,136.121524,2537,17,1301,1219,"Khabarovsk Krai, Russia",190.99572235831909,0.6700827749310209,Russia,Khabarovsk Krai,2020-06-08 03:33:22
3227,,,53.72258845,91.44293627,1128,10,757,361,"Khakassia Republic, Russia",209.85538954406684,0.8865248226950354,Russia,Khakassia Republic,2020-06-08 03:33:22
3228,,,61.0259025,69.0982628,3346,20,1126,2200,"Khanty-Mansi Autonomous Okrug, Russia",218.37267326396665,0.5977286312014346,Russia,Khanty-Mansi Autonomous Okrug,2020-06-08 03:33:22
3234,,,57.9665589,49.4074599,2182,20,1186,976,"Kirov Oblast, Russia",170.03860546523717,0.9165902841429879,Russia,Kirov Oblast,2020-06-08 03:33:22
3237,,,63.9881421,54.3326073,1564,26,885,653,"Komi Republic, Russia",185.99717198673284,1.6624040920716112,Russia,Komi Republic,2020-06-08 03:33:22
3238,,,58.424756,44.2533273,901,12,485,404,"Kostroma Oblast, Russia",140.05384534076143,1.3318534961154274,Russia,Kostroma Oblast,2020-06-08 03:33:22
3239,,,45.7684014,39.0261044,4399,43,3289,1067,"Krasnodar Krai, Russia",78.505626920702,0.977494885201182,Russia,Krasnodar Krai,2020-06-08 03:33:22
3240,,,63.3233807,97.0979974,5301,49,1494,3758,"Krasnoyarsk Krai, Russia",184.28665143749495,0.9243538954914168,Russia,Krasnoyarsk Krai,2020-06-08 03:33:22
3243,,,55.7655302,64.5632681,288,0,180,108,"Kurgan Oblast, Russia",34.061194246969684,0.0,Russia,Kurgan Oblast,2020-06-08 03:33:22
3244,,,51.6568453,36.4852695,3501,16,1802,1683,"Kursk Oblast, Russia",313.92430487869393,0.4570122822050843,Russia,Kursk Oblast,2020-06-08 03:33:22
3251,,,60.1853296,32.3925325,3188,18,2154,1016,"Leningrad Oblast, Russia",175.76203980999176,0.5646173149309912,Russia,Leningrad Oblast,2020-06-08 03:33:22
3255,,,52.6935178,39.1122664,2577,8,994,1575,"Lipetsk Oblast, Russia",224.04779686333083,0.3104384943733023,Russia,Lipetsk Oblast,2020-06-08 03:33:22
3265,,,62.48858785,153.9903764,327,3,208,116,"Magadan Oblast, Russia",226.93991991172246,0.9174311926605504,Russia,Magadan Oblast,2020-06-08 03:33:22
3271,,,56.5767504,47.8817512,2061,15,1718,328,"Mari El Republic, Russia",302.0519306555597,0.7278020378457059,Russia,Mari El Republic,2020-06-08 03:33:22
3290,,,54.4419829,44.4661144,2185,18,1123,1044,"Mordovia Republic, Russia",271.409690754432,0.8237986270022883,Russia,Mordovia Republic,2020-06-08 03:33:22
3292,,,55.7504461,37.6174943,195017,2919,102714,89384,"Moscow, Russia",1559.3291407294212,1.4967925873129009,Russia,Moscow,2020-06-08 03:33:22
3293,,,55.50431579999999,38.0353929,44232,567,11462,32203,"Moscow Oblast, Russia",589.4939417342972,1.2818773738469886,Russia,Moscow Oblast,2020-06-08 03:33:22
3295,,,68.00004179999999,33.9999151,3530,7,2477,1046,"Murmansk Oblast, Russia",468.4449882357937,0.19830028328611896,Russia,Murmansk Oblast,2020-06-08 03:33:22
3303,,,68.27557185,57.1686375,80,0,16,64,"Nenets Autonomous Okrug, Russia",181.8305793576835,0.0,Russia,Nenets Autonomous Okrug,2020-06-08 03:33:22
3311,,,55.47180329999999,44.0911594,12137,136,4837,7164,"Nizhny Novgorod Oblast, Russia",375.206507330392,1.1205404960039549,Russia,Nizhny Novgorod Oblast,2020-06-08 03:33:22
3315,,,42.79336110000001,44.6324493,3283,57,3066,160,"North Ossetia - Alania Republic, Russia",467.82042421608367,1.7362168748096254,Russia,North Ossetia - Alania Republic,2020-06-08 03:33:22
3320,,,58.2843833,32.5169757,1676,9,438,1229,"Novgorod Oblast, Russia",276.3505893060896,0.5369928400954654,Russia,Novgorod Oblast,2020-06-08 03:33:22
3321,,,54.9720169,79.48139240000002,3546,41,1369,2136,"Novosibirsk Oblast, Russia",127.14922894713914,1.1562323745064862,Russia,Novosibirsk Oblast,2020-06-08 03:33:22
3330,,,56.09352629999999,73.5099936,1718,18,684,1016,"Omsk Oblast, Russia",87.64943897726675,1.0477299185098952,Russia,Omsk Oblast,2020-06-08 03:33:22
3333,,,52.96854329999999,36.0692477,2870,32,1464,1374,"Orel Oblast, Russia",384.0764834117769,1.1149825783972125,Russia,Orel Oblast,2020-06-08 03:33:22
