,FIPS,Admin2,Province/State,Country/Region,Last Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incidence_Rate,Case-Fatality_Ratio
3071,,,Adygea Republic,Russia,2020-06-18 04:33:18,44.6939006,40.1520421,1415,12,858,545,"Adygea Republic, Russia",312.10297854319595,0.8480565371024735
3077,,,Altai Krai,Russia,2020-06-18 04:33:18,52.693224300000004,82.69314240000001,3010,22,1992,996,"Altai Krai, Russia",128.08074618736384,0.7308970099667774
3078,,,Altai Republic,Russia,2020-06-18 04:33:18,50.7114101,86.8572186,300,0,145,155,"Altai Republic, Russia",137.57492100906617,0.0
3083,,,Amur Oblast,Russia,2020-06-18 04:33:18,52.8032368,128.437295,1138,7,449,682,"Amur Oblast, Russia",142.53078564772605,0.6151142355008787
3099,,,Arkhangelsk Oblast,Russia,2020-06-18 04:33:18,63.5589686,43.1221646,4035,19,1296,2720,"Arkhangelsk Oblast, Russia",349.3421804493052,0.4708798017348203
3103,,,Astrakhan Oblast,Russia,2020-06-18 04:33:18,47.1878186,47.608851,2927,25,1875,1027,"Astrakhan Oblast, Russia",287.6618896644174,0.8541168431841476
3117,,,Bashkortostan Republic,Russia,2020-06-18 04:33:18,54.8573563,57.1439682,4670,18,2070,2582,"Bashkortostan Republic, Russia",114.9314115423131,0.3854389721627409
3121,,,Belgorod Oblast,Russia,2020-06-18 04:33:18,50.7080119,37.5837615,3592,36,2397,1159,"Belgorod Oblast, Russia",231.76047632197674,1.0022271714922049
3134,,,Bryansk Oblast,Russia,2020-06-18 04:33:18,52.887331499999995,33.41585300000001,5270,32,3839,1399,"Bryansk Oblast, Russia",435.18400768962715,0.6072106261859582
3135,,,Buryatia Republic,Russia,2020-06-18 04:33:18,52.718242599999996,109.492143,2341,11,1445,885,"Buryatia Republic, Russia",237.78302121560856,0.4698846646732166
3158,,,Chechen Republic,Russia,2020-06-18 04:33:18,43.39761470000001,45.6985005,1529,19,1145,365,"Chechen Republic, Russia",106.40363372932558,1.2426422498364944
3159,,,Chelyabinsk Oblast,Russia,2020-06-18 04:33:18,54.4223954,61.1865846,4958,47,2560,2351,"Chelyabinsk Oblast, Russia",141.9395620314248,0.9479628882613956
3169,,,Chukotka Autonomous Okrug,Russia,2020-06-18 04:33:18,66.0006475,169.4900869,129,1,89,39,"Chukotka Autonomous Okrug, Russia",261.40877036556697,0.7751937984496124
3170,,,Chuvashia Republic,Russia,2020-06-18 04:33:18,55.4259922,47.0849429,4259,21,2346,1892,"Chuvashia Republic, Russia",345.94599863376106,0.4930734914299131
3181,,,Dagestan Republic,Russia,2020-06-18 04:33:18,43.05749160000001,47.1332224,6837,335,4802,1700,"Dagestan Republic, Russia",223.14806201929906,4.899809858124908
3248,,,Ingushetia Republic,Russia,2020-06-18 04:33:18,43.11542075,45.01713552,2693,64,2169,460,"Ingushetia Republic, Russia",551.7956409578666,2.376531748978834
3250,,,Irkutsk Oblast,Russia,2020-06-18 04:33:18,56.6370122,104.71922099999999,4653,24,1349,3280,"Irkutsk Oblast, Russia",193.53671395207127,0.5157962604771116
3255,,,Ivanovo Oblast,Russia,2020-06-18 04:33:18,56.9167446,41.43521370000001,3685,31,1676,1978,"Ivanovo Oblast, Russia",363.1808532236859,0.8412483039348709
3259,,,Jewish Autonomous Okrug,Russia,2020-06-18 04:33:18,48.57527615,132.66307460000002,382,5,289,88,"Jewish Autonomous Okrug, Russia",235.78209290555137,1.3089005235602094
3266,,,Kabardino-Balkarian Republic,Russia,2020-06-18 04:33:18,43.480604799999995,43.5978976,4132,40,2102,1990,"Kabardino-Balkarian Republic, Russia",477.23104357909415,0.968054211035818
3269,,,Kaliningrad Oblast,Russia,2020-06-18 04:33:18,54.7293041,21.1489473,2161,32,1083,1046,"Kaliningrad Oblast, Russia",217.2734941418602,1.4807959278111986
3271,,,Kalmykia Republic,Russia,2020-06-18 04:33:18,46.2313018,45.3275745,1288,18,890,380,"Kalmykia Republic, Russia",467.66129412918053,1.3975155279503106
3272,,,Kaluga Oblast,Russia,2020-06-18 04:33:18,54.438277299999996,35.5272854,5321,41,2664,2616,"Kaluga Oblast, Russia",525.7614203166623,0.7705318549144897
3273,,,Kamchatka Krai,Russia,2020-06-18 04:33:18,57.191488199999995,160.03838190000005,1575,10,511,1054,"Kamchatka Krai, Russia",499.11743361738127,0.6349206349206349
